date,pm25
2018/1/1,133
2018/1/2,148
2018/1/3,133
2018/1/4,60
2018/1/5,83
2018/1/6,70
2018/1/7,61
2018/1/8,91
2018/1/9,62
2018/1/10,32
2018/1/11,59
2018/1/12,83
2018/1/13,98
2018/1/14,44
2018/1/15,36
2018/1/16,105
2018/1/17,92
2018/1/18,87
2018/1/19,73
2018/1/20,65
2018/1/21,21
2018/1/22,32
2018/1/23,44
2018/1/24,41
2018/1/25,44
2018/1/26,50
2018/1/27,46
2018/1/28,35
2018/1/29,44
2018/1/30,39
2018/1/31,31
2018/2/1,62
2018/2/2,87
2018/2/3,87
2018/2/4,91
2018/2/5,93
2018/2/6,88
2018/2/7,109
2018/2/8,71
2018/2/9,47
2018/2/10,68
2018/2/11,67
2018/2/12,67
2018/2/13,44
2018/2/14,34
2018/2/15,40
2018/2/16,53
2018/2/17,37
2018/2/18,47
2018/2/19,50
2018/2/20,20
2018/2/21,23
2018/2/22,35
2018/2/23,35
2018/2/24,23
2018/2/25,30
2018/2/26,39
2018/2/27,37
2018/2/28,27
2018/3/1,47
2018/3/2,44
2018/3/3,38
2018/3/4,31
2018/3/5,34
2018/3/6,31
2018/3/7,32
2018/3/8,52
2018/3/9,62
2018/3/10,61
2018/3/11,50
2018/3/12,32
2018/3/13,59
2018/3/14,57
2018/3/15,27
2018/3/16,23
2018/3/17,29
2018/3/18,19
2018/3/19,32
2018/3/20,41
2018/3/21,55
2018/3/22,50
2018/3/23,51
2018/3/24,42
2018/3/25,47
2018/3/26,33
2018/3/27,37
2018/3/28,38
2018/3/29,54
2018/3/30,79
2018/3/31,80
2018/4/1,85
2018/4/2,84
2018/4/3,59
2018/4/4,59
2018/4/5,80
2018/4/6,105
2018/4/7,57
2018/4/8,50
2018/4/9,53
2018/4/10,58
2018/4/11,68
2018/4/12,62
2018/4/13,31
2018/4/14,33
2018/4/15,50
2018/4/16,60
2018/4/17,41
2018/4/18,23
2018/4/19,40
2018/4/20,32
2018/4/21,51
2018/4/22,66
2018/4/23,73
2018/4/24,84
2018/4/25,94
2018/4/26,82
2018/4/27,69
2018/4/28,67
2018/4/29,56
2018/4/30,47
2018/5/1,47
2018/5/2,52
2018/5/3,52
2018/5/4,56
2018/5/5,58
2018/5/6,64
2018/5/7,66
2018/5/8,64
2018/5/9,71
2018/5/10,73
2018/5/11,70
2018/5/12,49
2018/5/13,35
2018/5/14,36
2018/5/15,49
2018/5/16,44
2018/5/17,39
2018/5/18,40
2018/5/19,54
2018/5/20,58
2018/5/21,51
2018/5/22,51
2018/5/23,52
2018/5/24,43
2018/5/25,40
2018/5/26,24
2018/5/27,34
2018/5/28,54
2018/5/29,64
2018/5/30,71
2018/5/31,39
2018/6/1,45
2018/6/2,57
2018/6/3,59
2018/6/4,66
2018/6/5,76
2018/6/6,65
2018/6/7,63
2018/6/8,59
2018/6/9,66
2018/6/10,66
2018/6/11,60
2018/6/12,66
2018/6/13,69
2018/6/14,71
2018/6/15,82
2018/6/16,67
2018/6/17,49
2018/6/18,34
2018/6/19,42
2018/6/20,59
2018/6/21,80
2018/6/22,79
2018/6/23,87
2018/6/24,62
2018/6/25,53
2018/6/26,58
2018/6/27,51
2018/6/28,66
2018/6/29,64
2018/6/30,57
2018/7/1,52
2018/7/2,48
2018/7/3,39
2018/7/4,45
2018/7/5,59
2018/7/6,71
2018/7/7,66
2018/7/8,70
2018/7/9,67
2018/7/10,71
2018/7/11,65
2018/7/12,58
2018/7/13,56
2018/7/14,48
2018/7/15,45
2018/7/16,53
2018/7/17,54
2018/7/18,61
2018/7/19,62
2018/7/20,55
2018/7/21,34
2018/7/22,33
2018/7/23,38
2018/7/24,58
2018/7/25,71
2018/7/26,76
2018/7/27,79
2018/7/28,85
2018/7/29,70
2018/7/30,61
2018/7/31,48
2018/8/1,50
2018/8/2,48
2018/8/3,56
2018/8/4,64
2018/8/5,67
2018/8/6,70
2018/8/7,72
2018/8/8,71
2018/8/9,56
2018/8/10,58
2018/8/11,50
2018/8/12,49
2018/8/13,46
2018/8/14,47
2018/8/15,39
2018/8/16,49
2018/8/17,59
2018/8/18,66
2018/8/19,67
2018/8/20,71
2018/8/21,68
2018/8/22,72
2018/8/23,66
2018/8/24,75
2018/8/25,91
2018/8/26,101
2018/8/27,78
2018/8/28,76
2018/8/29,63
2018/8/30,51
2018/8/31,57
2018/9/1,66
2018/9/2,66
2018/9/3,58
2018/9/4,52
2018/9/5,50
2018/9/6,44
2018/9/7,43
2018/9/8,62
2018/9/9,68
2018/9/10,74
2018/9/11,63
2018/9/12,59
2018/9/13,59
2018/9/14,63
2018/9/15,53
2018/9/16,51
2018/9/17,49
2018/9/18,47
2018/9/19,53
2018/9/20,58
2018/9/21,67
2018/9/22,68
2018/9/23,54
2018/9/24,51
2018/9/25,60
2018/9/26,61
2018/9/27,63
2018/9/28,70
2018/9/29,82
2018/9/30,48
2018/10/1,51
2018/10/2,44
2018/10/3,42
2018/10/4,32
2018/10/5,29
2018/10/6,33
2018/10/7,52
2018/10/8,50
2018/10/9,51
2018/10/10,47
2018/10/11,45
2018/10/12,32
2018/10/13,39
2018/10/14,31
2018/10/15,44
2018/10/16,35
2018/10/17,40
2018/10/18,37
2018/10/19,33
2018/10/20,24
2018/10/21,30
2018/10/22,52
2018/10/23,65
2018/10/24,73
2018/10/25,67
2018/10/26,78
2018/10/27,71
2018/10/28,72
2018/10/29,87
2018/10/30,105
2018/10/31,67
2018/11/1,60
2018/11/2,53
2018/11/3,49
2018/11/4,58
2018/11/5,70
2018/11/6,66
2018/11/7,49
2018/11/8,55
2018/11/9,65
2018/11/10,44
2018/11/11,77
2018/11/12,122
2018/11/13,49
2018/11/14,44
2018/11/15,43
2018/11/16,40
2018/11/17,57
2018/11/18,69
2018/11/19,91
2018/11/20,74
2018/11/21,72
2018/11/22,75
2018/11/23,32
2018/11/24,50
2018/11/25,57
2018/11/26,54
2018/11/27,30
2018/11/28,31
2018/11/29,40
2018/11/30,24
2018/12/1,33
2018/12/2,34
2018/12/3,19
2018/12/4,37
2018/12/5,31
2018/12/6,31
2018/12/7,24
2018/12/8,29
2018/12/9,34
2018/12/10,36
2018/12/11,46
2018/12/12,58
2018/12/13,63
2018/12/14,48
2018/12/15,39
2018/12/16,44
2018/12/17,59
2018/12/18,41
2018/12/19,41
2018/12/20,54
2018/12/21,52
2018/12/22,66
2018/12/23,85
2018/12/24,108
2018/12/25,103
2018/12/26,28
2018/12/27,38
2018/12/28,37
2018/12/29,18
2018/12/30,39
2018/12/31,53
