date,pm25,pm10
1/2/2020,63,32
1/3/2020,63,31
1/4/2020,54,38
1/5/2020,68,29
1/6/2020,62,26
1/7/2020,40,25
1/8/2020,28,28
1/9/2020,49,26
1/10/2020,45,27
1/11/2020,47,28
1/12/2020,55,27
1/13/2020,58,33
1/14/2020,61,34
1/15/2020,62,43
1/16/2020,81,35
1/17/2020,70,16
1/18/2020,30,24
1/19/2020,32,23
1/20/2020,32,31
1/21/2020,60,17
1/22/2020,39,26
1/23/2020,47,29
1/24/2020,48,30
1/25/2020,53,39
1/26/2020,85,44
1/27/2020,110,38
1/28/2020,70,25
1/29/2020,33,38
1/30/2020,37,38
1/31/2020,35,35
2/1/2020,40,26
2/2/2020,34,26
2/3/2020,47,28
2/4/2020,16,33
2/5/2020,31,24
2/6/2020,26,32
2/7/2020,45,36
2/8/2020,58,39
2/9/2020,70,20
2/10/2020,46,25
2/11/2020,36,34
2/12/2020,34,39
2/13/2020,45,42
2/14/2020,56,42
2/15/2020,63,38
2/16/2020,64,35
2/17/2020,63,38
2/18/2020,70,41
2/19/2020,71,43
2/20/2020,77,39
2/21/2020,64,32
2/22/2020,47,16
2/23/2020,32,23
2/24/2020,41,34
2/25/2020,58,33
2/26/2020,49,34
2/27/2020,42,33
2/28/2020,34,26
2/29/2020,29,24
3/1/2020,45,22
3/2/2020,38,22
3/3/2020,31,28
3/4/2020,38,39
3/5/2020,59,40
3/6/2020,64,37
3/7/2020,63,13
3/8/2020,25,8
3/9/2020,19,20
3/10/2020,29,10
3/11/2020,25,14
3/12/2020,27,18
3/13/2020,38,10
3/14/2020,31,11
3/15/2020,30,10
3/16/2020,22,22
3/17/2020,32,11
3/18/2020,24,17
3/19/2020,28,14
3/20/2020,24,16
3/21/2020,21,11
3/22/2020,26,11
3/23/2020,21,9
3/24/2020,15,15
3/25/2020,23,11
3/26/2020,16,11
3/27/2020,17,18
3/28/2020,27,20
3/29/2020,34,23
3/30/2020,41,21
3/31/2020,39,25
4/1/2020,43,25
4/2/2020,49,25
4/3/2020,47,28
4/4/2020,50,
4/8/2020,13,7
4/9/2020,15,5
4/10/2020,11,6
4/11/2020,12,13
4/12/2020,33,14
4/13/2020,29,10
4/14/2020,21,19
4/15/2020,34,21
4/16/2020,35,25
4/17/2020,44,17
4/18/2020,30,12
4/19/2020,21,13
4/20/2020,19,20
4/21/2020,30,26
4/22/2020,37,26
4/23/2020,43,39
4/24/2020,59,31
4/25/2020,49,31
4/26/2020,56,29
4/27/2020,61,32
4/28/2020,60,34
4/29/2020,62,33
4/30/2020,68,32
5/1/2020,65,31
5/2/2020,55,29
5/3/2020,48,22
5/4/2020,37,34
5/5/2020,56,35
5/6/2020,57,37
5/7/2020,55,37
5/8/2020,59,41
5/9/2020,74,38
5/10/2020,71,26
5/11/2020,57,20
5/12/2020,42,16
5/13/2020,28,21
5/14/2020,31,27
5/15/2020,33,28
5/16/2020,40,28
5/17/2020,45,24
5/18/2020,46,10
5/19/2020,14,17
5/20/2020,23,20
5/21/2020,28,27
5/22/2020,40,29
5/23/2020,47,27
5/24/2020,46,33
5/25/2020,61,33
5/26/2020,64,32
5/27/2020,59,31
5/28/2020,58,23
5/29/2020,47,14
5/30/2020,32,11
5/31/2020,21,16
6/1/2020,33,24
6/2/2020,42,32
6/3/2020,51,32
6/4/2020,56,29
6/5/2020,58,16
6/6/2020,30,17
6/7/2020,29,26
6/8/2020,34,28
6/9/2020,17,18
6/10/2020,14,29
6/11/2020,34,33
6/12/2020,50,23
6/13/2020,46,23
6/14/2020,39,25
6/15/2020,39,27
6/16/2020,44,24
6/17/2020,45,23
6/18/2020,39,24
6/19/2020,45,26
6/20/2020,46,19
6/21/2020,37,18
6/22/2020,42,23
6/23/2020,51,25
6/24/2020,54,23
6/25/2020,49,22
6/26/2020,46,16
6/27/2020,37,19
6/28/2020,51,9
6/29/2020,19,12
6/30/2020,25,20
7/1/2020,34,27
7/2/2020,50,22
7/3/2020,44,26
7/4/2020,49,65
7/5/2020,96,104
7/6/2020,183,37
7/7/2020,69,36
7/8/2020,66,37
7/9/2020,65,35
7/10/2020,65,35
7/11/2020,69,22
7/12/2020,50,25
7/13/2020,55,32
7/14/2020,63,29
7/15/2020,62,23
7/16/2020,49,25
7/17/2020,47,15
7/18/2020,28,14
7/19/2020,23,15
7/20/2020,42,21
7/21/2020,35,26
7/22/2020,62,22
7/23/2020,48,19
7/24/2020,43,18
7/25/2020,40,22
7/26/2020,48,20
7/27/2020,48,24
7/28/2020,47,25
7/29/2020,49,27
7/30/2020,50,28
7/31/2020,55,39
8/1/2020,64,37
8/2/2020,67,31
8/3/2020,68,38
8/4/2020,68,30
8/5/2020,60,25
